__time,/ground_truth/pose/pose/position/x,/ground_truth/pose/pose/position/y,/ground_truth/pose/pose/position/z,/ground_truth/pose/pose/orientation/yaw
1719597316.895018,3.656655584,0.081270473,-0.001142278,0.240021657
1719597316.896024,3.656898132,0.081340623,-0.001146765,0.240115728
1719597316.897062,3.657139177,0.08140618,-0.001151684,0.240212828
1719597316.898,3.657379752,0.081467007,-0.001156752,0.2403096
1719597316.899066,3.657620152,0.081524467,-0.001161765,0.24040521
1719597316.900001,3.65786039,0.081580053,-0.001166579,0.240499614
1719597316.901056,3.658100445,0.081634921,-0.001171081,0.240592806
1719597316.901999,3.658340312,0.081689881,-0.001175176,0.240684758
1719597316.903013,3.658580002,0.081745457,-0.001178781,0.240775445
1719597316.904022,3.658819547,0.081801947,-0.001181823,0.240864857
1719597316.905072,3.659058992,0.081859469,-0.001184234,0.240952993
1719597316.906003,3.65929839,0.081918015,-0.001185953,0.241039863
1719597316.907062,3.659537799,0.081977493,-0.001186927,0.241125481
1719597316.908,3.659777276,0.082037759,-0.001187107,0.241209869
1719597316.909056,3.660016871,0.082098651,-0.001186455,0.241293055
1719597316.910031,3.660256626,0.082160004,-0.001184938,0.241375071
1719597316.911031,3.660496582,0.08222163,-0.001182529,0.241455909
1719597316.912087,3.660738216,0.082279956,-0.001179469,0.241535903
1719597316.913033,3.660980662,0.082344711,-0.001176746,0.241622051
1719597316.914105,3.661221721,0.082410839,-0.001175097,0.241714518
1719597316.915051,3.661461776,0.082476432,-0.001174174,0.241810655
1719597316.916035,3.661701786,0.082540014,-0.001173645,0.241906853
1719597316.917014,3.661942035,0.082601795,-0.001173297,0.242002234
1719597316.918064,3.662182532,0.082662396,-0.001173004,0.242096783
1719597316.919045,3.662423249,0.082722332,-0.001172683,0.242190516
1719597316.920031,3.662664176,0.082781944,-0.001172272,0.242283341
1719597316.92113,3.662905305,0.082841494,-0.00117172,0.242375187
1719597316.92203,3.663146633,0.082901156,-0.00117098,0.242465998
1719597316.923062,3.66338816,0.082961033,-0.001170008,0.242555741
1719597316.924052,3.663629885,0.083021178,-0.001168764,0.242644395
1719597316.925032,3.663871806,0.083081594,-0.001167209,0.242731945
1719597316.926057,3.664113926,0.083142259,-0.001165309,0.242818378
1719597316.927019,3.664356243,0.083203125,-0.00116303,0.242903687
1719597316.928056,3.664598755,0.083264139,-0.001160342,0.242987863
1719597316.929029,3.664841458,0.083325242,-0.001157216,0.243070903
1719597316.930058,3.665084346,0.083386379,-0.001153631,0.243152804
1719597316.931024,3.665327411,0.083447501,-0.001149563,0.243233567
1719597316.932085,3.665570645,0.083508567,-0.001144997,0.243313194
1719597316.933016,3.665812048,0.083573295,-0.001140106,0.243392166
1719597316.934183,3.666050706,0.083634688,-0.001135755,0.243476041
1719597316.9351,3.666287547,0.083692603,-0.001131792,0.243563239
1719597316.936067,3.666523791,0.08374743,-0.001128019,0.243650497
1719597316.937078,3.666759941,0.083800644,-0.001124306,0.243736956
1719597316.938012,3.666996227,0.083853621,-0.001120577,0.24382257
1719597316.939095,3.667232809,0.083907298,-0.001116784,0.243907386
1719597316.940016,3.667471069,0.083959935,-0.001113151,0.243991457
1719597316.941085,3.667712238,0.084016179,-0.001110352,0.244080775
1719597316.942021,3.667955292,0.084078054,-0.001108192,0.244170388
1719597316.943034,3.668199714,0.084143963,-0.001106478,0.24425968
1719597316.944076,3.66844521,0.084212084,-0.00110508,0.244348633
1719597316.945012,3.668691568,0.084280949,-0.001103908,0.244437237
1719597316.946042,3.668938602,0.084349517,-0.001102895,0.244525448
1719597316.94706,3.669186128,0.084417116,-0.001101987,0.244613194
1719597316.94802,3.669433967,0.084483378,-0.001101133,0.244700382
1719597316.949023,3.66968194,0.084548168,-0.001100285,0.244786915
1719597316.950056,3.669929882,0.084611513,-0.001099397,0.244872693
1719597316.951018,3.670177641,0.084673553,-0.00109842,0.244957629
1719597316.952057,3.67042509,0.084734489,-0.00109731,0.245041651
1719597316.953004,3.670672123,0.084794548,-0.001096023,0.245124704
1719597316.954019,3.670918663,0.084853959,-0.001094514,0.245206749
1719597316.955072,3.671162868,0.084915957,-0.00109294,0.245288
1719597316.956005,3.671403863,0.084974537,-0.001092064,0.245373615
1719597316.957056,3.671642487,0.085029956,-0.001091705,0.245462249
1719597316.958035,3.671879899,0.085082764,-0.001091644,0.245550891
1719597316.95903,3.672116614,0.08513442,-0.001091732,0.245638766
1719597316.960061,3.672352903,0.085186236,-0.001091865,0.245725859
1719597316.961006,3.672588984,0.085239078,-0.001091971,0.245812247
1719597316.962074,3.672825063,0.085293421,-0.00109199,0.245898
1719597316.963009,3.673061323,0.08534945,-0.001091871,0.245983193
1719597316.964061,3.673297931,0.085407137,-0.001091571,0.246067895
1719597316.965019,3.673535031,0.085466324,-0.001091051,0.24615217
1719597316.966035,3.673772741,0.085526756,-0.001090273,0.246236047
1719597316.967005,3.674011144,0.085588149,-0.001089206,0.24631954
1719597316.968025,3.674251552,0.085647727,-0.001088074,0.246402728
1719597316.969018,3.674495134,0.085709854,-0.001087571,0.24649161
1719597316.970056,3.674740736,0.085776442,-0.001087496,0.246581096
